Hawaii pCO2,Ocean Surface Temperature (C),Global Temperature Anomaly (C),Eruptions,Hawaii pH,Chlorophyll Levels (mg-C/m2/day)
347.71818181818185,347.71818181818185,0.62,65.0,8.093363636363636,343.9495
348.825,348.825,0.7,81.0,8.090558333333334,363.1095
357.93,357.93,0.63,83.0,8.082600000000001,363.7701666666667
353.9166666666667,353.9166666666667,0.76,86.0,8.086791666666667,306.2473333333333
363.94444444444446,363.94444444444446,0.7,81.0,8.076755555555556,300.64016666666663
362.25,362.25,0.33,86.0,8.079025,334.93891666666667
368.15999999999997,368.15999999999997,0.54,75.0,8.07554,294.9800833333333
365.4222222222222,365.4222222222222,0.83,77.0,8.077877777777779,303.61108333333334
363.64,363.64,0.51,76.0,8.07836,302.9303333333333
375.49,375.49,0.52,81.0,8.067820000000001,283.98258333333337
375.06,375.06,0.6,80.0,8.06887,255.08508333333336
372.04,372.04,0.58,79.0,8.07105,300.95441666666665
375.5,375.5,0.88,90.0,8.067029999999999,326.0104166666667
371.31111111111113,371.31111111111113,1.34,86.0,8.06961111111111,287.43525
376.15999999999997,376.15999999999997,1.1,75.0,8.0646,298.87058333333334
377.7375,377.7375,0.89,82.0,8.0631625,314.24833333333333
387.93333333333334,387.93333333333334,0.91,75.0,8.051722222222221,274.74216666666666
385.875,385.875,1.21,72.0,8.0528375,277.84341666666666
385.0111111111111,385.0111111111111,0.65,82.0,8.05621111111111,295.9705833333333
401.76,401.76,0.9,84.0,8.04196,263.74572727272727
